issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
housing,macro,KX30YMORTW,KX30YMORTW-26AUG27,2026-08-24T00:00:00Z,26,1.0,15.12423076923077,393.23,Housing
housing,macro,KX30YMORTW,KX30YMORTW-26SEP03,2026-08-27T00:00:00Z,24,0.9230769230769231,3.1008333333333336,74.42,Housing
housing,macro,KX30YMORTW,KX30YMORTW-26SEP10,2026-09-03T00:00:00Z,24,0.9230769230769231,5.539166666666667,132.94,Housing
taxes_fiscal,policy,KXAALA,KXAALA-27JANPLF,2026-07-27T00:00:00Z,16,1.0,1502.049375,24032.79,Taxes and fiscal policy
healthcare,policy,KXACAENROLLMENT,KXACAENROLLMENT-27FEB28,2026-07-13T00:00:00Z,12,1.0,8.040000000000001,96.48,Health care
ai_jobs_regulation,policy,KXAPPLEOPENAICASE,KXAPPLEOPENAICASE-29,2026-09-02T00:00:00Z,2,1.0,0.0,0.0,"AI, jobs and regulation"
immigration,policy,KXBIGBENDRESUME,KXBIGBENDRESUME-27,2026-08-24T00:00:00Z,10,1.0,9.7,97.0,Immigration
immigration,policy,KXBLOCK75VISA,KXBLOCK75VISA-26NOV24,2026-08-24T00:00:00Z,2,1.0,3.09,6.18,Immigration
energy_iran,macro,KXBRENTMON,KXBRENTMON-26AUG3117,2026-08-01T00:00:00Z,40,1.0,109.43825000000001,4377.530000000001,Energy and Iran
energy_iran,macro,KXBRENTMON,KXBRENTMON-26SEP3017,2026-09-01T00:00:00Z,40,1.0,232.15649999999997,9286.259999999998,Energy and Iran
trade_tariffs,policy,KXCANAUTOSTEEL50,KXCANAUTOSTEEL50-27,2026-08-24T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
trade_tariffs,policy,KXCANTARIFFSEFFECT,KXCANTARIFFSEFFECT-26,2026-07-23T00:00:00Z,2,1.0,74.83500000000001,149.67000000000002,Trade and tariffs
trade_tariffs,policy,KXCANUSDEAL,KXCANUSDEAL-26,2026-08-21T00:00:00Z,6,1.0,69.055,414.33000000000004,Trade and tariffs
taxes_fiscal,policy,KXCAPGAINDOWN,KXCAPGAINDOWN-26AUG,2026-08-12T00:00:00Z,2,1.0,118.74,237.48,Taxes and fiscal policy
electricity_datacenters,policy,KXCHINADATACENTER,KXCHINADATACENTER-26AUG,2026-08-04T00:00:00Z,2,1.0,0.0,0.0,Electricity and data centers
ai_jobs_regulation,policy,KXCHINALIST,KXCHINALIST-26JUL,2026-07-28T00:00:00Z,2,1.0,20.5,41.0,"AI, jobs and regulation"
trade_tariffs,policy,KXCIT301,KXCIT301-BBAR27,2026-08-11T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
healthcare,policy,KXCMSDEFERRAL,KXCMSDEFERRAL-26JUL,2026-07-22T00:00:00Z,4,1.0,0.0,0.0,Health care
trade_tariffs,policy,KXCOPPERCABLE,KXCOPPERCABLE-28,2026-07-28T00:00:00Z,4,1.0,0.0,0.0,Trade and tariffs
electricity_datacenters,macro,KXDATACENTCON,KXDATACENTCON-26OCT01,2026-09-01T00:00:00Z,14,1.0,234.90928571428572,3288.73,Electricity and data centers
electricity_datacenters,macro,KXDATACENTCON,KXDATACENTCON-26SEP01,2026-08-14T00:00:00Z,14,1.0,652.0757142857144,9129.060000000001,Electricity and data centers
electricity_datacenters,policy,KXDATACENTERMORATORIUM,KXDATACENTERMORATORIUM-27JAN012,2026-07-14T00:00:00Z,2,1.0,1610.81,3221.62,Electricity and data centers
ai_jobs_regulation,mention,KXDEBATEMENTION,KXDEBATEMENTION-26AUG03,2026-07-30T00:00:00Z,2,1.0,20.735,41.47,"AI, jobs and regulation"
electricity_datacenters,mention,KXDEBATEMENTION,KXDEBATEMENTION-26AUG03,2026-07-30T00:00:00Z,2,1.0,30.835,61.67,Electricity and data centers
healthcare,mention,KXDEBATEMENTION,KXDEBATEMENTION-26AUG03,2026-07-30T00:00:00Z,2,1.0,28.855,57.71,Health care
immigration,mention,KXDEBATEMENTION,KXDEBATEMENTION-26AUG03,2026-07-30T00:00:00Z,2,1.0,0.0,0.0,Immigration
affordability_inflation,policy,KXDOJBEEFACTION,KXDOJBEEFACTION-27JAN01,2026-09-02T00:00:00Z,2,1.0,683.0,1366.0,Affordability and inflation
energy_iran,mention,KXEARNINGSMENTIONAAL,KXEARNINGSMENTIONAAL-26JUL23,2026-07-16T00:00:00Z,2,1.0,525.405,1050.81,Energy and Iran
taxes_fiscal,mention,KXEARNINGSMENTIONAAL,KXEARNINGSMENTIONAAL-26JUL23,2026-07-16T00:00:00Z,2,1.0,425.5,851.0,Taxes and fiscal policy
trade_tariffs,mention,KXEARNINGSMENTIONAAL,KXEARNINGSMENTIONAAL-26JUL23,2026-07-16T00:00:00Z,2,1.0,1.03,2.06,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONAAOI,KXEARNINGSMENTIONAAOI-26AUG06,2026-08-04T00:00:00Z,2,1.0,830.555,1661.11,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONAAP,KXEARNINGSMENTIONAAP-26AUG20,2026-08-18T00:00:00Z,2,1.0,1393.3200000000002,2786.6400000000003,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONAAPL,KXEARNINGSMENTIONAAPL-26JUL30,2026-07-16T00:00:00Z,2,1.0,0.0,0.0,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONAAPL,KXEARNINGSMENTIONAAPL-26JUL30,2026-07-16T00:00:00Z,2,1.0,48.765,97.53,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONAC,KXEARNINGSMENTIONAC-26AUG12,2026-07-23T00:00:00Z,2,1.0,2.5,5.0,Affordability and inflation
energy_iran,mention,KXEARNINGSMENTIONAC,KXEARNINGSMENTIONAC-26AUG12,2026-07-23T00:00:00Z,2,1.0,15.0,30.0,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONAC,KXEARNINGSMENTIONAC-26AUG12,2026-07-23T00:00:00Z,2,1.0,84.965,169.93,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONADBE,KXEARNINGSMENTIONADBE-26SEP10,2026-08-26T00:00:00Z,6,1.0,9.928333333333333,59.57,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONALK,KXEARNINGSMENTIONALK-26JUL22,2026-07-18T00:00:00Z,2,1.0,1192.255,2384.51,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONALK,KXEARNINGSMENTIONALK-26JUL22,2026-07-18T00:00:00Z,4,1.0,806.1650000000001,3224.6600000000003,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONALK,KXEARNINGSMENTIONALK-26JUL22,2026-07-18T00:00:00Z,2,1.0,1253.885,2507.77,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONALLY,KXEARNINGSMENTIONALLY-26JUL21,2026-07-18T00:00:00Z,2,1.0,830.995,1661.99,"AI, jobs and regulation"
electricity_datacenters,mention,KXEARNINGSMENTIONALLY,KXEARNINGSMENTIONALLY-26JUL21,2026-07-18T00:00:00Z,2,1.0,234.29500000000002,468.59000000000003,Electricity and data centers
energy_iran,mention,KXEARNINGSMENTIONALLY,KXEARNINGSMENTIONALLY-26JUL21,2026-07-18T00:00:00Z,2,1.0,1310.6200000000001,2621.2400000000002,Energy and Iran
fed_rates,mention,KXEARNINGSMENTIONALLY,KXEARNINGSMENTIONALLY-26JUL21,2026-07-18T00:00:00Z,2,1.0,515.88,1031.76,Fed and interest rates
trade_tariffs,mention,KXEARNINGSMENTIONALLY,KXEARNINGSMENTIONALLY-26JUL21,2026-07-18T00:00:00Z,2,1.0,832.235,1664.47,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONAMD,KXEARNINGSMENTIONAMD-26AUG04,2026-07-21T00:00:00Z,4,1.0,133.7875,535.15,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONAMD,KXEARNINGSMENTIONAMD-26AUG04,2026-07-21T00:00:00Z,2,1.0,7.255,14.51,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONAMZN,KXEARNINGSMENTIONAMZN-26JUL30,2026-07-21T00:00:00Z,6,1.0,548.5583333333333,3291.35,"AI, jobs and regulation"
electricity_datacenters,mention,KXEARNINGSMENTIONAMZN,KXEARNINGSMENTIONAMZN-26JUL30,2026-07-21T00:00:00Z,2,1.0,511.5,1023.0,Electricity and data centers
jobs_growth,mention,KXEARNINGSMENTIONAMZN,KXEARNINGSMENTIONAMZN-26JUL30,2026-07-21T00:00:00Z,2,1.0,327.255,654.51,Jobs and growth
trade_tariffs,mention,KXEARNINGSMENTIONAMZN,KXEARNINGSMENTIONAMZN-26JUL30,2026-07-21T00:00:00Z,2,1.0,975.1600000000001,1950.3200000000002,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONARITZIA,KXEARNINGSMENTIONARITZIA-26OCT14,2026-07-23T00:00:00Z,2,1.0,316.0,632.0,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONARITZIA,KXEARNINGSMENTIONARITZIA-26OCT14,2026-07-23T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
energy_iran,mention,KXEARNINGSMENTIONAS,KXEARNINGSMENTIONAS-26AUG18,2026-08-11T00:00:00Z,4,1.0,661.045,2644.18,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONAS,KXEARNINGSMENTIONAS-26AUG18,2026-08-11T00:00:00Z,2,1.0,1368.855,2737.71,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONAVGO,KXEARNINGSMENTIONAVGO-26SEP02,2026-08-26T00:00:00Z,4,1.0,104.3675,417.47,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONAXP,KXEARNINGSMENTIONAXP-26JUL24,2026-07-18T00:00:00Z,2,1.0,235.6,471.2,"AI, jobs and regulation"
taxes_fiscal,mention,KXEARNINGSMENTIONAZO,KXEARNINGSMENTIONAZO-26SEP22,2026-08-26T00:00:00Z,2,1.0,50.0,100.0,Taxes and fiscal policy
trade_tariffs,mention,KXEARNINGSMENTIONAZO,KXEARNINGSMENTIONAZO-26SEP22,2026-08-26T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
energy_iran,mention,KXEARNINGSMENTIONBA,KXEARNINGSMENTIONBA-26JUL21,2026-07-20T00:00:00Z,4,1.0,56.7975,227.19,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONBA,KXEARNINGSMENTIONBA-26JUL21,2026-07-20T00:00:00Z,2,1.0,329.0,658.0,Trade and tariffs
